4	[  6.72269098e-12   6.51077434e-16   3.12714015e-20   9.33289377e-19
   1.00000000e+00]	[  2.16088483e-06   3.06327408e-10   5.43096124e-10   6.95569213e-10
   9.99997854e-01]	[  6.71652671e-08   8.88113334e-08   4.32755004e-12   4.39565051e-11
   9.99999881e-01]	[  5.82713669e-11   4.99347403e-14   4.84748064e-18   1.34265191e-16
   1.00000000e+00]	[  2.75036105e-11   1.37557844e-15   7.89044639e-19   9.90103347e-18
   1.00000000e+00]	[  1.88463005e-08   8.25755020e-11   2.47349596e-14   6.31381503e-13
   1.00000000e+00]	[  6.00539424e-05   4.87227823e-08   3.50077145e-09   1.36149314e-10
   9.99939919e-01]	[  5.60629702e-11   4.76365909e-15   8.12063986e-17   1.46719044e-17
   1.00000000e+00]	[  3.45750650e-14   5.53523665e-18   1.76110529e-21   4.63281970e-21
   1.00000000e+00]	[  6.28057537e-11   4.45763116e-15   2.97411267e-17   8.34558815e-18
   1.00000000e+00]	[  1.77275569e-10   2.48355600e-14   1.06394526e-17   1.13669797e-16
   1.00000000e+00]
1	[  5.19354976e-11   9.89221215e-01   1.46035225e-15   7.99255952e-14
   1.07787587e-02]	[  6.24425978e-09   9.93799746e-01   4.71789163e-10   5.73893688e-09
   6.20020181e-03]	[  2.05899639e-07   9.99322057e-01   5.91735621e-08   1.10389431e-06
   6.76630763e-04]	[  2.75080549e-11   9.99871612e-01   3.54692567e-13   2.89772564e-11
   1.28418120e-04]	[  7.04579312e-11   9.91493225e-01   6.16961113e-14   2.42132378e-13
   8.50673206e-03]	[  7.37709394e-10   9.99956489e-01   4.51809727e-12   1.79704751e-09
   4.34736467e-05]	[  2.09349679e-07   9.99055564e-01   3.30418665e-10   1.18082291e-07
   9.44075757e-04]	[  1.53647494e-11   9.97686744e-01   1.50521549e-13   3.11716934e-13
   2.31331633e-03]	[  1.87162480e-10   8.24855745e-01   2.03716642e-14   1.08470559e-11
   1.75144225e-01]	[  7.13042354e-08   9.74791586e-01   2.76569080e-11   1.54308619e-08
   2.52082534e-02]	[  2.33779419e-11   9.99196231e-01   7.14159143e-15   2.07399016e-14
   8.03828530e-04]
4	[  4.74911481e-01   1.93400496e-09   2.03756628e-07   2.45709111e-06
   5.25085807e-01]	[  6.22335449e-03   1.89578330e-07   3.59549449e-06   1.24475337e-04
   9.93648350e-01]	[  6.48111818e-05   5.50586378e-07   1.02188711e-08   3.87184997e-07
   9.99934196e-01]	[  1.08775515e-02   7.11589954e-10   5.45484902e-09   3.78091869e-07
   9.89122093e-01]	[  6.48854733e-01   6.76949719e-10   1.70001772e-06   3.21583357e-05
   3.51111442e-01]	[  1.47913545e-02   2.74943766e-08   8.99908628e-07   3.93593247e-04
   9.84814107e-01]	[  8.35288167e-01   8.13379029e-06   3.57906247e-05   1.66264181e-05
   1.64651260e-01]	[  5.66768289e-01   1.99774908e-09   1.07614236e-04   4.34046615e-06
   4.33119774e-01]	[  5.68262674e-03   2.19591145e-09   2.79333733e-07   2.08201769e-07
   9.94316876e-01]	[  7.44826277e-04   1.03290198e-11   4.42777939e-08   1.10882814e-09
   9.99255121e-01]	[  6.97715700e-01   4.83335816e-09   4.30940918e-06   1.32941850e-05
   3.02266657e-01]
1	[  1.24734676e-17   1.00000000e+00   4.75693062e-19   1.13070653e-19
   6.31939112e-10]	[  4.71351636e-13   9.99991536e-01   1.25771653e-13   4.20560158e-12
   8.49745356e-06]	[  2.09290710e-10   9.99976516e-01   1.55693192e-09   2.50356469e-09
   2.35272055e-05]	[  1.50058008e-18   1.00000000e+00   5.68481737e-18   1.00619739e-18
   5.59937201e-11]	[  5.19478060e-17   1.00000000e+00   6.53014691e-17   7.41700264e-18
   6.89705071e-10]	[  9.66696468e-16   1.00000000e+00   9.85943280e-16   2.10063849e-14
   9.32368938e-09]	[  1.28680690e-13   1.00000000e+00   1.86716385e-14   3.03832588e-12
   2.78636545e-08]	[  6.17533258e-18   1.00000000e+00   9.38291069e-18   3.24971656e-19
   4.45888382e-10]	[  7.46446048e-18   1.00000000e+00   5.58669969e-18   3.59742544e-18
   1.38474947e-08]	[  1.84337842e-13   1.00000000e+00   4.19225987e-13   6.94620750e-12
   4.74548436e-08]	[  3.69080917e-18   1.00000000e+00   6.07734042e-19   9.26159801e-21
   1.23233479e-10]
4	[  2.34780356e-01   2.29987763e-05   3.79753183e-05   2.77884246e-05
   7.65130877e-01]	[ 0.2998153   0.0030734   0.02097483  0.06988724  0.60624921]	[  1.01971202e-01   3.16033185e-01   4.02880425e-04   1.13506056e-02
   5.70242167e-01]	[  1.40964255e-01   3.69742338e-05   9.39112506e-05   2.22697578e-04
   8.58682096e-01]	[  1.77457526e-01   6.28609814e-06   1.43418467e-04   1.89312734e-04
   8.22203457e-01]	[ 0.29925966  0.00142732  0.01523677  0.40093517  0.28314102]	[  9.90450799e-01   6.23785076e-04   8.11783422e-04   7.90468330e-05
   8.03474896e-03]	[  7.96846449e-01   6.41926235e-05   1.73385721e-02   1.21196943e-04
   1.85629517e-01]	[  1.16307892e-01   9.42366605e-05   2.12095169e-04   1.36353032e-04
   8.83249402e-01]	[  4.59257603e-01   1.47132587e-05   3.56669771e-03   2.13362455e-05
